,Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Mortgage Insurance Percentage (MI %),Number of Units,Occupancy Status,Original Combined Loan-to-Value (CLTV),Original Debt-to-Income (DTI) Ratio,Original UPB,Original Loan-to-Value (LTV),Original Interest Rate,Channel,Prepayment Penalty Mortgage (PPM) Flag,Amortization Type (Formerly Product Type),Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name,Super Conforming Flag,Pre-HARP Loan Sequence Number,Program Indicator,HARP Indicator,Property Valuation Method,Interest Only (I/O) Indicator,Mortgage Insurance Cancellation Indicator
249,784,202303,Y,205302,19740.0,0,1,P,75,50,424000,75,6.25,R,N,FRM,CO,PU,80200,F23Q10003740,P,360,1,Other sellers,"ROCKET MORTGAGE, LLC",,,H,,1,N,7
250,741,202303,Y,205302,10420.0,0,1,P,80,26,188000,80,6.5,R,N,FRM,OH,SF,44300,F23Q10003764,P,360,2,"CROSSCOUNTRY MORTGAGE, LLC","LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
251,750,202303,N,205302,33460.0,0,1,P,54,41,230000,54,6.375,R,N,FRM,MN,SF,55400,F23Q10003768,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
252,811,202303,Y,205302,35614.0,0,1,P,50,22,300000,50,6.125,R,N,FRM,NY,CP,10000,F23Q10003817,P,360,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
253,737,202303,N,205302,35614.0,0,1,P,71,50,480000,71,6.125,R,N,FRM,NY,SF,10700,F23Q10003822,P,360,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N,7
254,678,202303,N,204302,34820.0,0,1,P,60,45,108000,60,6.125,R,N,FRM,SC,MH,29500,F23Q10003870,C,240,2,Other sellers,Other servicers,,,9,,2,N,7
255,699,202303,Y,205302,26420.0,25,1,P,90,42,392000,90,6.125,R,N,FRM,TX,PU,77300,F23Q10003880,P,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,N
256,770,202303,N,205302,41620.0,0,1,P,75,31,484000,75,6.625,R,N,FRM,UT,CO,84100,F23Q10003883,P,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,7
257,751,202303,Y,205302,25420.0,30,1,P,95,44,257000,95,6.5,R,N,FRM,PA,SF,17000,F23Q10003886,P,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,9,,2,N,N
258,662,202303,N,203802,28140.0,0,1,I,75,33,193000,75,6.375,R,N,FRM,MO,SF,64100,F23Q10003892,N,180,1,Other sellers,Other servicers,,,9,,2,N,7
259,770,202302,Y,205301,14454.0,25,1,P,97,45,340000,97,6.25,R,N,FRM,MA,SF,2100,F23Q10003903,P,360,1,GUILD MORTGAGE COMPANY LLC,GUILD MORTGAGE COMPANY LLC,,,H,,2,N,N
260,802,202303,N,205302,19460.0,0,1,P,30,9,200000,30,6.125,R,N,FRM,AL,SF,35600,F23Q10003926,P,360,2,Other sellers,Other servicers,,,9,,2,N,7
261,725,202303,N,205302,24540.0,30,1,P,93,43,537000,93,7.5,R,N,FRM,CO,MH,80600,F23Q10003927,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,N
262,725,202303,N,205302,35840.0,0,1,P,75,37,487000,75,6.625,R,N,FRM,FL,PU,34200,F23Q10003933,P,360,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
263,776,202303,Y,205302,12980.0,30,1,P,95,39,143000,95,6.375,R,N,FRM,MI,SF,49000,F23Q10003972,P,360,1,Other sellers,Other servicers,,,9,,2,N,N
264,756,202303,Y,205302,28660.0,25,1,P,97,48,243000,97,6.375,B,N,FRM,TX,PU,76500,F23Q10003982,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
265,741,202303,Y,205302,19804.0,25,1,P,97,49,224000,97,5.999,B,N,FRM,MI,SF,48100,F23Q10003988,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
266,716,202303,Y,205302,19124.0,25,1,P,97,50,247000,97,6.43,B,N,FRM,TX,SF,75100,F23Q10003995,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
267,690,202303,Y,205302,10580.0,25,1,P,95,41,161000,95,6.5,B,N,FRM,NY,SF,12300,F23Q10003997,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
268,708,202303,N,205302,26140.0,0,1,I,80,40,308000,80,6.999,B,N,FRM,FL,CO,34400,F23Q10004000,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
269,751,202303,Y,205302,,25,1,P,97,40,170000,97,6.832,B,N,FRM,NC,SF,28400,F23Q10004006,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
270,761,202303,Y,205302,26900.0,0,1,P,73,50,159000,73,5.5,B,N,FRM,IN,SF,46200,F23Q10004029,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,7
271,790,202303,N,205302,40900.0,0,1,P,53,23,274000,53,5.5,R,N,FRM,CA,SF,95700,F23Q10004061,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,9,,2,N,7
272,778,202303,N,205302,16984.0,25,1,P,97,46,207000,97,5.99,R,N,FRM,IL,CO,60600,F23Q10004063,P,360,1,Other sellers,"LAKEVIEW LOAN SERVICING, LLC",,,H,,2,N,N
273,797,202303,Y,205302,12060.0,0,1,P,80,49,275000,80,7.5,R,N,FRM,GA,CO,30100,F23Q10004085,P,360,1,Other sellers,Other servicers,,,9,,2,N,7
274,763,202303,N,205302,38060.0,0,1,P,80,26,426000,80,6.125,R,N,FRM,AZ,PU,85300,F23Q10004102,P,360,2,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
275,798,202303,Y,205302,15380.0,25,1,P,90,30,251000,90,6.499,B,N,FRM,NY,SF,14200,F23Q10004141,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
276,741,202302,N,205301,,30,1,P,95,38,111000,95,6.375,B,N,FRM,KY,MH,42000,F23Q10004177,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
277,803,202303,Y,205302,44060.0,25,1,P,97,49,216000,97,5.125,B,N,FRM,WA,SF,99200,F23Q10004187,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,H,,2,N,N
278,659,202303,Y,205302,31084.0,30,1,P,95,42,499000,95,7.375,C,N,FRM,CA,CO,91700,F23Q10004200,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
279,814,202303,N,205302,40484.0,0,1,P,80,39,400000,80,6.375,B,N,FRM,NH,PU,3800,F23Q10004240,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
280,738,202303,N,205302,38060.0,0,1,P,80,10,300000,80,6.375,B,N,FRM,AZ,PU,85100,F23Q10004250,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
281,704,202303,N,205302,,0,1,P,25,30,94000,25,7.625,R,N,FRM,SC,SF,29600,F23Q10004329,C,360,1,Other sellers,NATIONSTAR MORTGAGE LLC DBA MR. COOPER,,,9,,2,N,7
282,676,202303,N,205302,27620.0,0,1,P,73,44,263000,73,6.625,R,N,FRM,MO,SF,65100,F23Q10004355,C,360,1,Other sellers,Other servicers,,,9,,2,N,7
283,783,202303,Y,205302,35614.0,0,1,P,70,44,218000,70,6.5,B,N,FRM,NY,CP,11300,F23Q10004370,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,7
284,744,202303,Y,205302,27620.0,30,1,P,93,27,248000,93,6.125,C,N,FRM,MO,SF,65100,F23Q10004402,P,360,2,PENNYMAC CORP.,PENNYMAC CORP.,,,9,,2,N,N
285,766,202303,Y,205302,47664.0,0,1,P,80,42,476000,80,5.5,B,N,FRM,MI,CO,48300,F23Q10004411,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N,7
286,801,202303,Y,205302,36740.0,30,1,P,94,18,338000,94,5.5,B,N,FRM,FL,PU,32700,F23Q10004413,P,360,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,2,N,N
